id,team,pos,name,buy_cost,sale_value,3_pts,4_pts,5_pts,6_pts,7_pts,8_pts,9_pts,10_pts
1,Arsenal,M,Özil,6.900,6.900,0.042,0.109,0.126,0.105,0.089,0.121,0.209,0.200
2,Arsenal,D,Sokratis,4.900,4.900,0.000,0.000,0.000,0.000,0.000,0.046,0.036,0.040
3,Arsenal,D,David Luiz,5.500,5.500,1.315,3.083,0.869,2.167,1.400,2.592,1.944,2.280
4,Arsenal,M,Aubameyang,12.000,12.000,4.000,6.001,3.942,5.534,4.370,6.545,5.334,4.980
5,Arsenal,D,Cédric,4.900,4.900,0.088,0.298,0.113,0.282,0.260,0.453,0.241,0.305
6,Arsenal,F,Lacazette,8.500,8.500,2.718,3.733,2.682,3.524,2.933,4.079,3.516,3.198
7,Arsenal,D,Mustafi,5.000,5.000,0.000,0.000,0.117,0.337,0.293,0.429,0.412,0.453
8,Arsenal,G,Leno,5.000,5.000,3.184,4.210,3.103,3.660,3.256,4.006,3.593,3.859
9,Arsenal,M,Xhaka,5.500,5.500,2.045,2.699,1.935,2.343,2.019,2.610,2.353,2.198
10,Arsenal,D,Marí,4.500,4.500,0.000,0.261,0.182,0.379,0.250,0.563,0.375,0.459
11,Arsenal,D,Bellerín,5.000,5.000,1.663,3.962,1.350,3.078,2.124,3.753,2.994,3.229
12,Aston Villa,G,Martínez,4.500,4.500,3.666,3.021,3.071,3.245,3.278,2.948,3.362,3.099
13,Arsenal,D,Chambers,4.500,4.500,0.000,0.000,0.227,0.780,0.740,1.353,1.050,0.928
14,Arsenal,D,Kolasinac,4.900,4.900,0.571,1.315,0.428,0.740,0.576,0.989,0.920,0.982
15,Arsenal,D,Maitland-Niles,5.000,5.000,0.295,0.435,0.167,0.314,0.229,0.391,0.392,0.425
16,Arsenal,D,Holding,4.500,4.500,1.346,3.348,0.998,2.230,1.613,2.835,2.083,2.515
17,Arsenal,D,Tierney,5.500,5.500,0.703,2.967,1.020,2.324,1.628,2.985,2.291,2.501
18,Arsenal,M,Pépé,7.800,7.800,1.549,1.758,1.480,1.937,1.614,2.285,1.980,1.802
19,Arsenal,M,Torreira,4.900,4.900,0.032,0.078,0.064,0.074,0.067,0.123,0.111,0.109
20,Arsenal,M,Willock,4.900,4.900,0.274,0.315,0.275,0.299,0.349,0.560,0.297,0.513
21,Arsenal,M,Nelson,5.400,5.400,0.044,0.059,0.044,0.056,0.047,0.131,0.167,0.107
