Pos,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,Özil,7.0,7.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,5.0,5.0,Arsenal,1,0.043,2,0.087,1,0.021,2,0.09,1,0.017,1,0.037,1,0.025,1,0.045
D,David Luiz,5.5,5.5,Arsenal,36,1.565,51,2.225,70,1.357,67,3.047,64,0.996,65,2.371,61,1.454,60,2.729
M,Aubameyang,12.0,12.0,Arsenal,83,6.62,79,6.521,78,3.871,76,5.653,77,3.72,73,5.081,76,4.185,76,6.428
D,Cédric,5.0,5.0,Arsenal,18,0.859,20,0.958,20,0.454,20,0.992,20,0.376,22,0.888,22,0.596,19,0.946
F,Lacazette,8.5,8.5,Arsenal,54,3.578,57,3.901,53,2.413,53,3.272,51,2.284,52,3.086,51,2.53,48,3.389
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,14,0.351,16,0.754
G,Leno,5.0,5.0,Arsenal,79,3.615,77,3.473,78,2.821,79,3.746,78,2.794,78,3.3,76,2.837,76,3.503
M,Xhaka,5.5,5.5,Arsenal,81,2.625,79,2.655,75,1.906,75,2.497,74,1.845,74,2.268,71,1.903,71,2.473
D,Marí,4.5,4.5,Arsenal,0,0,0,0,16,0.311,20,0.869,26,0.401,24,0.834,26,0.603,25,1.067
D,Bellerín,5.0,5.0,Arsenal,71,3.377,69,3.293,68,1.504,68,3.348,68,1.234,66,2.651,65,1.733,67,3.335
G,Martínez,4.5,4.5,Arsenal,10,0.458,12,0.543,11,0.393,10,0.474,11,0.39,11,0.464,12,0.444,13,0.601
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Kolasinac,5.0,5.0,Arsenal,41,1.743,40,1.705,32,0.626,31,1.401,33,0.517,30,1.077,29,0.69,29,1.294
D,Maitland-Niles,5.0,5.0,Arsenal,2,0.093,3,0.14,2,0.047,2,0.096,2,0.04,2,0.08,3,0.083,2,0.097
D,Holding,4.5,4.5,Arsenal,39,1.723,35,1.551,26,0.547,30,1.391,28,0.48,26,0.975,27,0.68,25,1.153
D,Tierney,5.5,5.5,Arsenal,75,3.658,74,3.575,70,1.571,74,3.687,70,1.285,72,2.927,70,1.897,67,3.382
M,Pépé,8.0,8.0,Arsenal,58,3.546,54,3.41,53,2.208,57,3.294,53,2.152,54,2.92,53,2.366,51,3.301
M,Torreira,5.0,5.0,Arsenal,28,1.089,31,1.237,32,0.983,32,1.24,34,1.021,30,1.085,33,1.05,35,1.415
M,Willock,5.0,5.0,Arsenal,19,1.252,20,1.362,21,0.951,23,1.43,23,1.011,23,1.349,22,1.059,24,1.654
M,Nelson,5.5,5.5,Arsenal,7,0.438,7,0.451,8,0.351,9,0.533,8,0.345,9,0.5,9,0.419,10,0.653
F,Nketiah,6.0,6.0,Arsenal,31,1.997,28,1.863,30,1.385,31,1.86,30,1.362,31,1.792,31,1.527,34,2.275
M,Smith Rowe,4.5,4.5,Arsenal,0,0,0,0,1,0.034,1,0.041,2,0.068,1,0.039,1,0.036,2,0.085
M,Saka,5.5,5.5,Arsenal,34,1.566,37,1.755,39,1.353,34,1.53,38,1.297,40,1.679,39,1.424,39,1.874
M,Guendouzi,5.0,5.0,Arsenal,5,0.179,6,0.222,8,0.241,9,0.326,9,0.268,10,0.342,10,0.309,9,0.336
M,Martinelli,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
